Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,2513617,2513617,0,0
2015-05-02,2394671,2394671,0,0
2015-05-03,2715690,2715690,0,0
2015-05-04,2345757,2345757,0,0
2015-05-05,2318979,2318979,0,0
2015-05-06,2362217,2362217,0,0
2015-05-07,2244542,2244542,0,0
2015-05-08,2362128,2362128,0,0
2015-05-09,2570759,2570759,0,0
2015-05-10,2700661,2700661,0,0
2015-05-11,2410791,2410791,0,0
2015-05-12,2424910,2424910,0,0
2015-05-13,2382742,2382742,0,0
2015-05-14,2386144,2386144,0,0
2015-05-15,2122168,2122168,0,0
2015-05-16,2239438,2239438,0,0
2015-05-17,2472578,2472578,0,0
2015-05-18,2131874,2131874,0,0
2015-05-19,2434238,2434238,0,0
2015-05-20,2330960,2330960,0,0
2015-05-21,2396566,2396566,0,0
2015-05-22,2158315,2158315,0,0
2015-05-23,2441827,2441827,0,0
2015-05-24,2584554,2584554,0,0
2015-05-25,2330583,2330583,0,0
2015-05-26,2314581,2314581,0,0
2015-05-27,2489126,2489126,0,0
2015-05-28,2432863,2432863,0,0
2015-05-29,2221266,2221266,0,0
2015-05-30,2368709,2368709,0,0
2015-05-31,2523729,2523729,0,0
2015-06-01,2151178,2151178,0,0
2015-06-02,2205850,2205850,0,0
2015-06-03,2341706,2341706,0,0
2015-06-04,2175647,2175647,0,0
2015-06-05,2140561,2140561,0,0
2015-06-06,2368801,2368801,0,0
2015-06-07,2936392,2936392,0,0
2015-06-08,2273525,2273525,0,0
2015-06-09,2143820,2143820,0,0
2015-06-10,2243869,2243869,0,0
2015-06-11,2157755,2157755,0,0
2015-06-12,1985086,1985086,0,0
2015-06-13,2159793,2159793,0,0
2015-06-14,2139402,2139402,0,0
2015-06-15,2006444,2006444,0,0
2015-06-16,1988622,1988622,0,0
2015-06-17,2213134,2213134,0,0
2015-06-18,2103176,2103176,0,0
2015-06-19,2130011,2130011,0,0
2015-06-20,2225652,2225652,0,0
2015-06-21,2292087,2292087,0,0
2015-06-22,1992144,1992144,0,0
2015-06-23,2078224,2078224,0,0
2015-06-24,2074626,2074626,0,0
2015-06-25,2065145,2065145,0,0
2015-06-26,2030779,2030779,0,0
2015-06-27,2212130,2212130,0,0
2015-06-28,2474845,2474845,0,0
2015-06-29,2248820,2248820,0,0
2015-06-30,2094561,2094561,0,0
2015-07-01,2112755,2112755,0,0
2015-07-02,2230567,2230567,0,0
2015-07-03,2139981,2139981,0,0
2015-07-04,2466800,2466800,0,0
2015-07-05,2438608,2438608,0,0
2015-07-06,2169366,2169366,0,0
2015-07-07,2055919,2055919,0,0
2015-07-08,1999330,1999330,0,0
2015-07-09,2006900,2006900,0,0
2015-07-10,2025189,2025189,0,0
2015-07-11,2202499,2202499,0,0
2015-07-12,2394736,2394736,0,0
2015-07-13,1933726,1933726,0,0
2015-07-14,1969321,1969321,0,0
2015-07-15,1803740,1803740,0,0
2015-07-16,1739422,1739422,0,0
2015-07-17,1658721,1658721,0,0
2015-07-18,1772590,1772590,0,0
2015-07-19,2002992,2002992,0,0
2015-07-20,1777593,1777593,0,0
2015-07-21,1795244,1795244,0,0
2015-07-22,1793270,1793270,0,0
2015-07-23,1823397,1823397,0,0
2015-07-24,1893315,1893315,0,0
2015-07-25,1878563,1878563,0,0
2015-07-26,2018211,2018211,0,0
2015-07-27,1890106,1890106,0,0
2015-07-28,1832474,1832474,0,0
2015-07-29,1838095,1838095,0,0
2015-07-30,1803568,1803568,0,0
2015-07-31,1760574,1760574,0,0
2015-08-01,1895701,1895701,0,0
2015-08-02,1986878,1986878,0,0
2015-08-03,1498169,1498169,0,0
2015-08-04,1794489,1794489,0,0
2015-08-05,1789010,1789010,0,0
2015-08-06,1731108,1731108,0,0
2015-08-07,1779776,1779776,0,0
2015-08-08,1892384,1892384,0,0
2015-08-09,1990552,1990552,0,0
2015-08-10,1737885,1737885,0,0
2015-08-11,1781026,1781026,0,0
2015-08-12,1801170,1801170,0,0
2015-08-13,1774760,1774760,0,0
2015-08-14,1688415,1688415,0,0
2015-08-15,1841526,1841526,0,0
2015-08-16,2008854,2008854,0,0
2015-08-17,1788200,1788200,0,0
2015-08-18,1800334,1800334,0,0
2015-08-19,1839385,1839385,0,0
2015-08-20,1813769,1813769,0,0
2015-08-21,1799986,1799986,0,0
2015-08-22,1886461,1886461,0,0
2015-08-23,2076311,2076311,0,0
2015-08-24,1794378,1794378,0,0
2015-08-25,1844998,1844998,0,0
2015-08-26,1858770,1858770,0,0
2015-08-27,1927016,1927016,0,0
2015-08-28,1874120,1874120,0,0
2015-08-29,1933397,1933397,0,0
2015-08-30,2118644,2118644,0,0
2015-08-31,1819178,1819178,0,0
2015-09-01,1866999,1866999,0,0
