Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,3741,3545,189,7
2015-05-02,4051,3839,204,8
2015-05-03,7282,6584,679,19
2015-05-04,6173,5787,380,6
2015-05-05,3583,3264,311,8
2015-05-06,4233,4042,187,4
2015-05-07,6231,6058,154,19
2015-05-08,3955,3828,123,4
2015-05-09,6059,5877,179,3
2015-05-10,5576,5394,179,3
2015-05-11,4780,4597,175,8
2015-05-12,4172,3983,175,14
2015-05-13,5970,5252,710,8
2015-05-14,5628,5348,258,22
2015-05-15,6264,6076,175,13
2015-05-16,4755,4606,140,9
2015-05-17,4256,4088,160,8
2015-05-18,4799,4662,123,14
2015-05-19,3924,3584,338,2
2015-05-20,2806,2672,131,3
2015-05-21,8273,8102,164,7
2015-05-22,4043,3857,183,3
2015-05-23,5616,5466,141,9
2015-05-24,4221,3988,228,5
2015-05-25,4081,3891,184,6
2015-05-26,3783,3556,224,3
2015-05-27,3180,2981,192,7
2015-05-28,3003,2824,173,6
2015-05-29,3666,3460,201,5
2015-05-30,5118,4862,250,6
2015-05-31,3386,3218,156,12
2015-06-01,3476,3299,174,3
2015-06-02,3716,3395,315,6
2015-06-03,3393,3198,187,8
2015-06-04,3326,3087,234,5
2015-06-05,4224,3914,303,7
2015-06-06,3271,2997,267,7
2015-06-07,2916,2756,155,5
2015-06-08,3793,3550,236,7
2015-06-09,3305,3150,148,7
2015-06-10,3748,3551,185,12
2015-06-11,4151,3897,245,9
2015-06-12,4274,4101,135,38
2015-06-13,2890,2711,162,17
2015-06-14,2729,2536,183,10
2015-06-15,3195,2956,217,22
2015-06-16,3889,3579,302,8
2015-06-17,2002,1900,99,3
2015-06-18,5196,5003,187,6
2015-06-19,2428,2278,147,3
2015-06-20,1977,1761,200,16
2015-06-21,2149,1965,181,3
2015-06-22,2213,2089,119,5
2015-06-23,1860,1744,104,12
2015-06-24,2618,2450,120,48
2015-06-25,3867,3685,181,1
2015-06-26,3249,3029,213,7
2015-06-27,3415,3066,336,13
2015-06-28,2819,2579,234,6
2015-06-29,3834,3627,202,5
2015-06-30,2989,2781,199,9
2015-07-01,3310,3130,174,6
2015-07-02,3201,2992,207,2
2015-07-03,2659,2451,203,5
2015-07-04,2694,2468,218,8
2015-07-05,3715,3330,379,6
2015-07-06,7946,7319,623,4
2015-07-07,5919,5535,379,5
2015-07-08,3991,3663,319,9
2015-07-09,2641,2401,239,1
2015-07-10,3653,3489,150,14
2015-07-11,1916,1785,119,12
2015-07-12,2442,2298,142,2
2015-07-13,2382,2257,121,4
2015-07-14,2712,2523,186,3
2015-07-15,2686,2508,174,4
2015-07-16,2894,2696,195,3
2015-07-17,1927,1783,140,4
2015-07-18,1714,1583,124,7
2015-07-19,5568,2265,3290,13
2015-07-20,2922,2785,136,1
2015-07-21,2689,2066,547,76
2015-07-22,2698,2268,426,4
