Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,10723,8738,1732,253
2015-05-02,11329,9591,1436,302
2015-05-03,32012,24313,7348,351
2015-05-04,11409,9273,1864,272
2015-05-05,8485,6544,1682,259
2015-05-06,7835,6230,1373,232
2015-05-07,16980,15150,1603,227
2015-05-08,21539,7954,13322,263
2015-05-09,15935,14038,1662,235
2015-05-10,11382,8882,2148,352
2015-05-11,8426,6210,1980,236
2015-05-12,9788,5761,3840,187
2015-05-13,12688,7480,4960,248
2015-05-14,14315,9218,4843,254
2015-05-15,20282,14732,5228,322
2015-05-16,12538,7358,5000,180
2015-05-17,12949,7192,5465,292
2015-05-18,13810,8726,4862,222
2015-05-19,13714,8869,4646,199
2015-05-20,9343,7325,1805,213
2015-05-21,19418,17638,1608,172
2015-05-22,9220,7359,1598,263
2015-05-23,9642,7888,1557,197
2015-05-24,8453,6400,1796,257
2015-05-25,9472,7631,1604,237
2015-05-26,10609,8693,1687,229
2015-05-27,11262,9458,1581,223
2015-05-28,11323,9331,1807,185
2015-05-29,12897,10659,2017,221
2015-05-30,16476,14005,2161,310
2015-05-31,12821,10228,2189,404
2015-06-01,11963,9307,2419,237
2015-06-02,12606,9881,2368,357
2015-06-03,14071,9995,3723,353
2015-06-04,12311,9400,2548,363
2015-06-05,15208,12142,2770,296
2015-06-06,11178,8395,2514,269
2015-06-07,10127,7332,2477,318
2015-06-08,11755,9379,2120,256
2015-06-09,12053,9196,2422,435
2015-06-10,11499,9132,2146,221
2015-06-11,19556,16083,3243,230
2015-06-12,12905,10274,2374,257
2015-06-13,13193,10458,2457,278
2015-06-14,10029,7400,2283,346
2015-06-15,10276,7863,2072,341
2015-06-16,12183,9553,2298,332
2015-06-17,12328,9794,2180,354
2015-06-18,36993,34409,2225,359
2015-06-19,21332,18846,2105,381
2015-06-20,13050,10513,2063,474
2015-06-21,14070,11697,1932,441
2015-06-22,15746,12938,2319,489
2015-06-23,11394,8641,2438,315
2015-06-24,14391,11418,2468,505
2015-06-25,15737,12954,2306,477
2015-06-26,17128,13836,2763,529
2015-06-27,19185,16021,2657,507
2015-06-28,14021,10937,2666,418
2015-06-29,17338,14548,2306,484
2015-06-30,15070,11526,3012,532
2015-07-01,13011,9802,2830,379
2015-07-02,13262,9976,2880,406
2015-07-03,11694,8783,2539,372
2015-07-04,11363,7999,2940,424
2015-07-05,16648,12634,3541,473
2015-07-06,24099,20023,3626,450
2015-07-07,23065,18375,4304,386
2015-07-08,14959,12069,2500,390
2015-07-09,11244,8562,2326,356
2015-07-10,10746,8576,1865,305
2015-07-11,7869,5619,1945,305
2015-07-12,9715,6627,2684,404
2015-07-13,8294,6145,1915,234
2015-07-14,8748,6544,1909,295
2015-07-15,10001,7736,2032,233
2015-07-16,8577,6446,1837,294
2015-07-17,6474,4486,1683,305
2015-07-18,6741,4588,1795,358
2015-07-19,18359,6536,11569,254
2015-07-20,9380,7423,1733,224
2015-07-21,7300,5285,1812,203
2015-07-22,7051,5284,1608,159
2015-07-23,10340,7602,2563,175
2015-07-24,8455,6779,1437,239
2015-07-25,7355,5357,1840,158
2015-07-26,7165,4691,2164,310
2015-07-27,8155,6341,1621,193
2015-07-28,10305,7952,2041,312
2015-07-29,12012,9727,2040,245
2015-07-30,11903,10142,1583,178
2015-07-31,13426,11232,1927,267
2015-08-01,10839,8072,2499,268
2015-08-02,10713,8244,2219,250
2015-08-03,6608,5172,1266,170
2015-08-04,11064,8208,2584,272
2015-08-05,9197,7095,1896,206
2015-08-06,10134,7751,2118,265
2015-08-07,10632,8820,1679,133
2015-08-08,7709,5692,1796,221
2015-08-09,11019,8584,2198,237
2015-08-10,9158,7098,1823,237
2015-08-11,9541,7687,1577,277
2015-08-12,7875,6071,1593,211
2015-08-13,9402,7391,1716,295
2015-08-14,8234,6451,1533,250
2015-08-15,10033,7115,2494,424
2015-08-16,11142,8514,2340,288
2015-08-17,11307,9246,1810,251
2015-08-18,18916,16771,1880,265
2015-08-19,11165,8870,2030,265
2015-08-20,11180,8939,2031,210
2015-08-21,10555,8531,1804,220
2015-08-22,10889,8731,1905,253
2015-08-23,17258,13699,3339,220
2015-08-24,10829,8126,2462,241
2015-08-25,11864,8946,2634,284
2015-08-26,11935,9445,2242,248
2015-08-27,11232,9087,1805,340
2015-08-28,10143,8349,1521,273
2015-08-29,7923,6119,1585,219
2015-08-30,8977,6362,2298,317
2015-08-31,8829,6481,2090,258
2015-09-01,7607,5582,1757,268
2015-09-02,8203,5990,1957,256
2015-09-03,9438,7255,1847,336
2015-09-04,11284,8953,2063,268
2015-09-05,12106,9553,2259,294
2015-09-06,12013,9843,1896,274
2015-09-07,8596,6879,1494,223
2015-09-08,9386,7383,1852,151
2015-09-09,7943,6262,1465,216
2015-09-10,11826,8421,3187,218
2015-09-11,12220,8632,3306,282
2015-09-12,10880,7126,3429,325
2015-09-13,9362,6782,2233,347
2015-09-14,10608,8179,2087,342
2015-09-15,14154,11555,2309,290
2015-09-16,7759,5984,1517,258
2015-09-17,12268,9880,2087,301
2015-09-18,9282,7467,1509,306
2015-09-19,14884,12437,2058,389
2015-09-20,16014,13077,2577,360
2015-09-21,12589,10455,1888,246
2015-09-22,21379,19236,1843,300
2015-09-23,8625,6594,1789,242
2015-09-24,8351,6512,1537,302
2015-09-25,13113,11060,1746,307
2015-09-26,9470,7262,1868,340
2015-09-27,8966,6156,2479,331
2015-09-28,10898,8127,2410,361
2015-09-29,10688,8852,1543,293
2015-09-30,12272,10145,1883,244
2015-10-01,13042,10096,2501,445
2015-10-02,11308,8281,2567,460
2015-10-03,9686,7586,1901,199
2015-10-04,10511,8181,2094,236
2015-10-05,7748,5870,1627,251
2015-10-06,11721,8606,2850,265
2015-10-07,12017,9497,2184,336
2015-10-08,11282,9101,1895,286
2015-10-09,9300,7142,1849,309
2015-10-10,8588,6114,2041,433
2015-10-11,11287,8483,2352,452
2015-10-12,13057,10304,2214,539
2015-10-13,13605,10968,2174,463
