Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,8608,7679,929,0
2015-05-02,8449,7699,750,0
2015-05-03,8733,7743,990,0
2015-05-04,7297,6585,712,0
2015-05-05,7129,6345,784,0
2015-05-06,6637,5924,713,0
2015-05-07,10290,9546,744,0
2015-05-08,6146,5484,662,0
2015-05-09,10517,9822,695,0
2015-05-10,6416,5667,749,0
2015-05-11,10080,9272,808,0
2015-05-12,8750,7972,778,0
2015-05-13,11692,10800,892,0
2015-05-14,15577,14592,985,0
2015-05-15,9129,8312,817,0
2015-05-16,10521,9548,973,0
2015-05-17,8597,7353,1244,0
2015-05-18,12997,11885,1112,0
2015-05-19,10694,9682,1012,0
2015-05-20,7466,6398,1068,0
2015-05-21,9169,8142,1027,0
2015-05-22,6704,5835,869,0
2015-05-23,7290,6179,1111,0
2015-05-24,7349,6447,902,0
2015-05-25,7510,6665,845,0
2015-05-26,6684,5793,891,0
2015-05-27,6689,5064,1625,0
2015-05-28,9316,7890,1426,0
2015-05-29,9377,8271,1106,0
2015-05-30,6297,5150,1147,0
2015-05-31,6439,4986,1453,0
2015-06-01,7716,6633,1083,0
2015-06-02,9411,8429,982,0
2015-06-03,7699,6771,928,0
2015-06-04,7622,6813,809,0
2015-06-05,8664,7797,867,0
2015-06-06,5788,4945,843,0
2015-06-07,6018,5205,813,0
2015-06-08,6150,5449,701,0
2015-06-09,6764,5887,877,0
2015-06-10,7858,7082,776,0
2015-06-11,8491,7536,955,0
2015-06-12,8133,7387,746,0
2015-06-13,10801,9741,1060,0
2015-06-14,9030,7732,1298,0
2015-06-15,7730,6931,799,0
2015-06-16,8600,7909,691,0
2015-06-17,11609,10880,729,0
2015-06-18,9859,9112,747,0
2015-06-19,7744,6803,941,0
2015-06-20,5394,4632,762,0
2015-06-21,5596,4795,801,0
2015-06-22,9995,9318,677,0
2015-06-23,6557,5889,668,0
2015-06-24,7520,6685,835,0
2015-06-25,8983,8252,731,0
2015-06-26,7178,6507,671,0
2015-06-27,8048,7333,715,0
2015-06-28,6535,5833,702,0
2015-06-29,9818,9112,706,0
2015-06-30,7243,6551,692,0
