Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,572,364,208,0
2015-05-02,439,385,54,0
2015-05-03,1254,1192,62,0
2015-05-04,2254,2131,123,0
2015-05-05,733,552,181,0
2015-05-06,981,753,228,0
2015-05-07,492,449,43,0
2015-05-08,412,374,38,0
2015-05-09,684,645,39,0
2015-05-10,604,545,59,0
2015-05-11,1131,1035,96,0
2015-05-12,1088,989,99,0
2015-05-13,1005,938,67,0
2015-05-14,692,614,78,0
2015-05-15,954,830,124,0
2015-05-16,741,638,103,0
2015-05-17,1063,779,284,0
2015-05-18,718,652,66,0
2015-05-19,1138,917,221,0
2015-05-20,1077,733,344,0
2015-05-21,863,688,175,0
2015-05-22,1068,827,241,0
2015-05-23,438,388,50,0
2015-05-24,1104,704,400,0
2015-05-25,943,692,251,0
2015-05-26,1038,522,516,0
2015-05-27,519,418,101,0
2015-05-28,572,495,77,0
2015-05-29,574,463,111,0
2015-05-30,551,485,66,0
2015-05-31,820,742,78,0
2015-06-01,629,532,97,0
2015-06-02,792,730,62,0
2015-06-03,872,817,55,0
2015-06-04,683,581,102,0
2015-06-05,647,570,77,0
2015-06-06,681,603,78,0
2015-06-07,420,348,72,0
2015-06-08,525,449,76,0
2015-06-09,861,762,99,0
2015-06-10,1194,1040,154,0
2015-06-11,852,780,72,0
2015-06-12,675,517,158,0
2015-06-13,682,629,53,0
2015-06-14,508,412,96,0
2015-06-15,498,436,62,0
2015-06-16,408,368,40,0
2015-06-17,382,372,10,0
2015-06-18,885,707,178,0
2015-06-19,1011,846,165,0
2015-06-20,102,90,12,0
2015-06-21,212,196,16,0
2015-06-22,410,390,20,0
2015-06-23,289,273,16,0
2015-06-24,769,614,155,0
2015-06-25,511,296,215,0
2015-06-26,575,548,27,0
2015-06-27,348,140,208,0
2015-06-28,446,310,136,0
2015-06-29,352,185,167,0
2015-06-30,706,493,213,0
2015-07-01,735,719,16,0
2015-07-02,343,192,151,0
2015-07-03,363,219,144,0
2015-07-04,863,673,190,0
2015-07-05,492,401,91,0
2015-07-06,283,251,32,0
2015-07-07,540,425,115,0
2015-07-08,396,380,16,0
2015-07-09,274,265,9,0
2015-07-10,232,215,17,0
2015-07-11,186,168,18,0
2015-07-12,370,362,8,0
2015-07-13,188,174,14,0
2015-07-14,308,295,13,0
2015-07-15,352,346,6,0
2015-07-16,857,638,219,0
2015-07-17,74,55,19,0
2015-07-18,452,414,38,0
2015-07-19,652,241,411,0
2015-07-20,392,327,65,0
2015-07-21,638,402,236,0
2015-07-22,592,356,236,0
2015-07-23,542,300,242,0
2015-07-24,691,367,324,0
2015-07-25,1340,1243,97,0
2015-07-26,465,309,156,0
2015-07-27,299,132,167,0
2015-07-28,483,332,151,0
2015-07-29,695,674,21,0
2015-07-30,390,371,19,0
2015-07-31,594,575,19,0
2015-08-01,434,388,46,0
2015-08-02,675,663,12,0
2015-08-03,287,280,7,0
2015-08-04,231,188,43,0
2015-08-05,170,157,13,0
2015-08-06,287,269,18,0
2015-08-07,262,246,16,0
2015-08-08,180,156,24,0
2015-08-09,436,421,15,0
2015-08-10,1033,864,169,0
2015-08-11,414,396,18,0
2015-08-12,322,304,18,0
2015-08-13,166,158,8,0
2015-08-14,98,86,12,0
2015-08-15,172,160,12,0
2015-08-16,113,110,3,0
2015-08-17,188,167,21,0
2015-08-18,413,392,21,0
2015-08-19,198,194,4,0
2015-08-20,160,132,28,0
2015-08-21,321,318,3,0
2015-08-22,146,137,9,0
2015-08-23,114,107,7,0
2015-08-24,794,754,40,0
2015-08-25,669,627,42,0
2015-08-26,292,251,41,0
2015-08-27,174,164,10,0
2015-08-28,198,180,18,0
2015-08-29,199,192,7,0
2015-08-30,178,167,11,0
2015-08-31,376,346,30,0
2015-09-01,268,251,17,0
2015-09-02,224,217,7,0
2015-09-03,93,83,10,0
2015-09-04,189,181,8,0
2015-09-05,230,219,11,0
2015-09-06,668,649,19,0
2015-09-07,240,230,10,0
2015-09-08,261,236,25,0
2015-09-09,339,270,69,0
2015-09-10,269,249,20,0
2015-09-11,721,648,73,0
2015-09-12,1277,1269,8,0
2015-09-13,800,788,12,0
2015-09-14,1234,1220,14,0
2015-09-15,384,369,15,0
2015-09-16,123,111,12,0
2015-09-17,334,285,49,0
2015-09-18,161,112,49,0
2015-09-19,194,171,23,0
2015-09-20,542,529,13,0
2015-09-21,442,364,78,0
2015-09-22,350,330,20,0
2015-09-23,718,707,11,0
2015-09-24,142,131,11,0
2015-09-25,866,672,194,0
2015-09-26,466,264,202,0
2015-09-27,246,192,54,0
2015-09-28,841,442,399,0
2015-09-29,358,347,11,0
2015-09-30,448,439,9,0
2015-10-01,280,263,17,0
2015-10-02,829,408,421,0
2015-10-03,186,172,14,0
2015-10-04,187,164,23,0
2015-10-05,229,219,10,0
2015-10-06,340,171,169,0
2015-10-07,352,317,35,0
2015-10-08,382,373,9,0
2015-10-09,111,102,9,0
2015-10-10,158,135,23,0
2015-10-11,95,82,11,2
2015-10-12,145,134,11,0
2015-10-13,285,219,63,3
2015-10-14,97,86,9,2
2015-10-15,202,185,13,4
2015-10-16,198,178,19,1
2015-10-17,131,119,12,0
2015-10-18,112,96,12,4
2015-10-19,132,120,8,4
2015-10-20,173,137,18,18
2015-10-21,489,463,15,11
2015-10-22,140,129,11,0
2015-10-23,165,144,21,0
2015-10-24,144,119,25,0
2015-10-25,154,131,23,0
2015-10-26,200,191,8,1
2015-10-27,295,282,13,0
2015-10-28,324,239,77,8
2015-10-29,162,144,18,0
2015-10-30,142,139,3,0
2015-10-31,141,111,25,5
2015-11-01,128,115,13,0
2015-11-02,130,124,5,1
2015-11-03,122,115,6,1
2015-11-04,329,325,2,2
2015-11-05,231,212,15,4
2015-11-06,173,154,10,9
2015-11-07,229,218,11,0
2015-11-08,191,163,27,1
2015-11-09,172,158,12,2
2015-11-10,232,226,5,1
2015-11-11,160,152,6,2
2015-11-12,178,173,5,0
2015-11-13,111,97,14,0
2015-11-14,104,95,9,0
2015-11-15,216,213,1,2
2015-11-16,218,207,9,2
2015-11-17,479,457,22,0
2015-11-18,243,229,14,0
2015-11-19,202,178,24,0
2015-11-20,269,229,37,3
2015-11-21,87,59,28,0
2015-11-22,106,78,27,1
2015-11-23,322,264,56,2
2015-11-24,101,82,19,0
2015-11-25,125,117,8,0
2015-11-26,162,154,8,0
2015-11-27,174,165,8,1
2015-11-28,102,88,14,0
2015-11-29,164,146,18,0
2015-11-30,133,127,5,1
2015-12-01,112,107,5,0
2015-12-02,248,207,6,35
2015-12-03,162,152,10,0
2015-12-04,275,253,19,3
2015-12-05,287,255,31,1
2015-12-06,97,71,26,0
2015-12-07,106,88,17,1
