Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,572,519,53,0
2015-05-02,696,681,15,0
2015-05-03,718,699,19,0
2015-05-04,839,798,41,0
2015-05-05,748,723,25,0
2015-05-06,1415,1398,17,0
2015-05-07,1071,1036,35,0
2015-05-08,344,318,26,0
2015-05-09,592,551,41,0
2015-05-10,904,873,31,0
2015-05-11,1582,1541,41,0
2015-05-12,1703,1662,41,0
2015-05-13,1442,1409,33,0
2015-05-14,1004,965,39,0
2015-05-15,902,863,39,0
2015-05-16,545,516,29,0
2015-05-17,507,463,44,0
2015-05-18,1239,1196,43,0
2015-05-19,954,912,42,0
2015-05-20,1241,1187,54,0
2015-05-21,1465,1421,44,0
2015-05-22,1185,1135,50,0
2015-05-23,1409,1389,20,0
2015-05-24,1014,995,19,0
2015-05-25,1323,1300,23,0
2015-05-26,876,834,42,0
2015-05-27,914,878,36,0
2015-05-28,474,442,32,0
2015-05-29,603,579,24,0
2015-05-30,432,406,26,0
2015-05-31,496,454,42,0
2015-06-01,742,686,56,0
2015-06-02,1648,1614,34,0
2015-06-03,761,716,45,0
2015-06-04,757,713,44,0
2015-06-05,1040,989,51,0
2015-06-06,7285,7264,21,0
2015-06-07,498,474,24,0
2015-06-08,708,648,60,0
2015-06-09,827,803,24,0
2015-06-10,1195,1153,42,0
2015-06-11,1560,1501,59,0
2015-06-12,1784,1717,67,0
2015-06-13,1211,1173,38,0
2015-06-14,880,828,52,0
2015-06-15,646,623,23,0
2015-06-16,767,734,33,0
2015-06-17,665,647,18,0
2015-06-18,222,193,29,0
2015-06-19,263,246,17,0
2015-06-20,419,387,32,0
2015-06-21,383,359,24,0
2015-06-22,411,384,27,0
2015-06-23,219,208,11,0
2015-06-24,504,498,6,0
2015-06-25,322,317,5,0
2015-06-26,326,319,7,0
2015-06-27,871,861,10,0
2015-06-28,249,237,12,0
2015-06-29,406,404,2,0
2015-06-30,261,238,23,0
2015-07-01,520,515,5,0
2015-07-02,255,250,5,0
2015-07-03,327,308,19,0
2015-07-04,286,279,7,0
2015-07-05,1001,984,17,0
2015-07-06,483,470,13,0
2015-07-07,743,735,8,0
2015-07-08,671,663,8,0
2015-07-09,565,560,5,0
2015-07-10,831,820,11,0
2015-07-11,520,498,22,0
2015-07-12,619,561,58,0
2015-07-13,216,186,30,0
2015-07-14,548,535,13,0
2015-07-15,331,321,10,0
2015-07-16,1668,1206,462,0
2015-07-17,581,566,15,0
2015-07-18,184,173,11,0
2015-07-19,876,170,706,0
2015-07-20,429,408,21,0
2015-07-21,1844,1810,34,0
2015-07-22,226,220,6,0
2015-07-23,371,361,10,0
2015-07-24,295,276,19,0
2015-07-25,256,249,7,0
2015-07-26,375,363,12,0
2015-07-27,1472,1463,9,0
2015-07-28,454,439,15,0
2015-07-29,397,375,22,0
2015-07-30,419,397,22,0
2015-07-31,344,167,177,0
2015-08-01,792,780,12,0
2015-08-02,412,400,12,0
2015-08-03,281,276,5,0
2015-08-04,765,489,276,0
2015-08-05,950,328,622,0
2015-08-06,615,598,17,0
2015-08-07,625,610,15,0
2015-08-08,599,584,15,0
2015-08-09,386,381,5,0
2015-08-10,726,625,101,0
2015-08-11,520,500,20,0
2015-08-12,836,822,14,0
2015-08-13,905,882,23,0
2015-08-14,671,658,13,0
2015-08-15,418,389,29,0
2015-08-16,1497,1476,21,0
2015-08-17,560,548,12,0
2015-08-18,732,717,15,0
2015-08-19,646,624,22,0
2015-08-20,1172,1146,26,0
2015-08-21,871,850,21,0
2015-08-22,1037,1023,14,0
2015-08-23,459,446,13,0
2015-08-24,458,450,8,0
2015-08-25,546,488,58,0
2015-08-26,410,401,9,0
2015-08-27,500,447,53,0
2015-08-28,932,916,16,0
2015-08-29,946,926,20,0
2015-08-30,427,414,13,0
2015-08-31,1272,1266,6,0
2015-09-01,789,780,9,0
2015-09-02,613,596,17,0
2015-09-03,286,257,29,0
2015-09-04,554,535,19,0
2015-09-05,639,588,51,0
2015-09-06,586,555,31,0
2015-09-07,573,570,3,0
2015-09-08,346,335,11,0
2015-09-09,480,462,18,0
2015-09-10,725,708,17,0
2015-09-11,235,218,17,0
2015-09-12,389,384,5,0
2015-09-13,378,371,7,0
2015-09-14,1141,1115,26,0
2015-09-15,592,577,15,0
2015-09-16,547,536,11,0
2015-09-17,705,690,15,0
2015-09-18,651,619,32,0
2015-09-19,854,787,67,0
2015-09-20,494,484,10,0
2015-09-21,866,855,11,0
2015-09-22,645,633,12,0
2015-09-23,398,388,10,0
2015-09-24,379,367,12,0
2015-09-25,487,462,25,0
2015-09-26,838,835,3,0
2015-09-27,887,872,15,0
2015-09-28,918,909,9,0
2015-09-29,2024,2002,22,0
2015-09-30,1334,1322,12,0
2015-10-01,595,590,5,0
2015-10-02,1000,993,7,0
2015-10-03,177,167,10,0
2015-10-04,960,949,11,0
2015-10-05,896,881,15,0
2015-10-06,647,629,18,0
2015-10-07,830,817,13,0
2015-10-08,331,316,14,1
2015-10-09,761,746,15,0
2015-10-10,2214,2197,12,5
2015-10-11,870,861,9,0
2015-10-12,1548,1540,7,1
2015-10-13,1226,1216,10,0
2015-10-14,741,733,7,1
2015-10-15,961,954,5,2
2015-10-16,1275,1270,5,0
2015-10-17,261,246,15,0
2015-10-18,460,441,14,5
2015-10-19,361,350,11,0
2015-10-20,1299,1275,16,8
2015-10-21,1143,1131,12,0
2015-10-22,524,518,6,0
2015-10-23,644,636,8,0
2015-10-24,302,282,19,1
2015-10-25,898,892,5,1
2015-10-26,796,752,43,1
2015-10-27,410,394,16,0
2015-10-28,948,943,5,0
2015-10-29,1171,1164,7,0
2015-10-30,692,682,10,0
2015-10-31,528,518,3,7
2015-11-01,411,399,12,0
