Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,15549,14548,987,14
2015-05-02,18667,17726,931,10
2015-05-03,36482,33456,3015,11
2015-05-04,17040,15763,1264,13
2015-05-05,12377,11480,870,27
2015-05-06,10059,9309,729,21
2015-05-07,34161,33309,833,19
2015-05-08,15806,14855,938,13
2015-05-09,35513,32775,2732,6
2015-05-10,13596,12531,1059,6
2015-05-11,13874,12035,1828,11
2015-05-12,13284,11209,2058,17
2015-05-13,15680,12935,2719,26
2015-05-14,19178,16965,2190,23
2015-05-15,70679,68836,1829,14
2015-05-16,15445,13671,1752,22
2015-05-17,20656,17756,2890,10
2015-05-18,15340,13113,2198,29
2015-05-19,13971,12364,1598,9
2015-05-20,12039,11212,813,14
2015-05-21,39874,38898,966,10
2015-05-22,14397,13489,889,19
2015-05-23,14385,13284,1092,9
2015-05-24,14376,13439,916,21
2015-05-25,13499,12440,1034,25
2015-05-26,15558,14406,1128,24
2015-05-27,15648,14387,1251,10
2015-05-28,14037,12799,1226,12
2015-05-29,14606,13576,1016,14
2015-05-30,19002,17622,1350,30
2015-05-31,15594,14332,1245,17
2015-06-01,11539,10292,1220,27
2015-06-02,11601,10637,940,24
2015-06-03,14383,13430,938,15
2015-06-04,11591,10107,1456,28
2015-06-05,13211,12316,886,9
2015-06-06,11912,10720,1185,7
2015-06-07,12368,11545,799,24
2015-06-08,16917,15973,937,7
2015-06-09,15755,14622,1115,18
2015-06-10,18204,16975,1205,24
2015-06-11,21217,19859,1327,31
2015-06-12,18017,17029,979,9
2015-06-13,15604,14682,893,29
2015-06-14,19546,18692,844,10
2015-06-15,14165,13317,842,6
2015-06-16,15892,14948,918,26
2015-06-17,17378,16738,631,9
2015-06-18,14383,13587,790,6
2015-06-19,13812,12847,955,10
2015-06-20,11719,10684,1026,9
2015-06-21,22749,21578,1165,6
2015-06-22,10747,9956,744,47
2015-06-23,11863,11063,796,4
2015-06-24,10828,9999,808,21
2015-06-25,13543,12614,910,19
2015-06-26,13464,12575,874,15
2015-06-27,12146,11069,1063,14
2015-06-28,11310,10587,709,14
2015-06-29,14114,13391,699,24
2015-06-30,12912,12296,603,13
2015-07-01,10954,9871,1056,27
2015-07-02,10003,9212,779,12
2015-07-03,12669,11466,1096,107
2015-07-04,12358,11372,964,22
2015-07-05,18686,17226,1451,9
2015-07-06,31291,28807,2471,13
2015-07-07,29895,26536,3343,16
2015-07-08,18475,16987,1478,10
2015-07-09,15208,13891,1305,12
2015-07-10,13844,12785,1050,9
2015-07-11,9638,8790,832,16
2015-07-12,11796,10562,1218,16
2015-07-13,9830,8872,953,5
2015-07-14,10913,10113,783,17
2015-07-15,13531,12260,1223,48
2015-07-16,10993,10064,905,24
2015-07-17,8803,7754,1006,43
2015-07-18,8681,7351,1313,17
2015-07-19,37561,8730,28793,38
2015-07-20,14673,12955,1700,18
2015-07-21,10026,8981,1027,18
2015-07-22,8849,7771,1075,3
2015-07-23,17609,16018,1543,48
2015-07-24,12241,10976,1247,18
2015-07-25,9763,9001,705,57
2015-07-26,9152,8394,741,17
2015-07-27,10620,9358,1252,10
2015-07-28,16526,14548,1962,16
2015-07-29,17001,15321,1658,22
2015-07-30,13351,11468,1867,16
2015-07-31,13606,11151,2418,37
2015-08-01,13028,11656,1365,7
2015-08-02,12301,11262,1011,28
2015-08-03,9536,8684,838,14
2015-08-04,19684,18105,1564,15
2015-08-05,18806,17448,1337,21
2015-08-06,16391,14947,1435,9
2015-08-07,20623,18926,1687,10
2015-08-08,14145,13070,1047,28
2015-08-09,17370,16014,1346,10
2015-08-10,20263,18351,1896,16
2015-08-11,14245,12766,1457,22
2015-08-12,12425,11337,1072,16
2015-08-13,11819,10558,1244,17
2015-08-14,10566,9229,1328,9
2015-08-15,12381,11409,962,10
2015-08-16,15586,14448,1130,8
2015-08-17,12464,11422,1032,10
2015-08-18,23885,22666,1206,13
2015-08-19,15329,13855,1457,17
2015-08-20,13654,12219,1428,7
2015-08-21,17564,16245,1293,26
2015-08-22,15815,14036,1760,19
2015-08-23,17221,15243,1965,13
2015-08-24,18254,15844,2399,11
2015-08-25,16049,13612,2424,13
2015-08-26,13600,12409,1161,30
2015-08-27,14210,13013,1180,17
2015-08-28,14993,13279,1700,14
2015-08-29,12151,10238,1878,35
2015-08-30,12425,11083,1319,23
2015-08-31,12255,11141,1089,25
2015-09-01,10978,9848,1118,12
2015-09-02,22584,21013,1551,20
2015-09-03,32573,31234,1333,6
2015-09-04,25750,23293,2450,7
2015-09-05,17772,15843,1918,11
2015-09-06,12937,11713,1199,25
2015-09-07,12416,11344,1051,21
2015-09-08,13549,12446,1088,15
2015-09-09,24338,21895,2414,29
2015-09-10,15381,14226,1148,7
2015-09-11,17021,15674,1327,20
2015-09-12,20620,18163,2441,16
2015-09-13,15302,13167,2110,25
2015-09-14,18070,16442,1607,21
2015-09-15,18624,17099,1504,21
2015-09-16,9718,8501,1208,9
2015-09-17,15054,13699,1316,39
2015-09-18,13113,12049,1049,15
2015-09-19,19829,18495,1305,29
2015-09-20,25249,23340,1868,41
2015-09-21,19679,17848,1814,17
2015-09-22,35083,34332,736,15
2015-09-23,10438,9662,760,16
2015-09-24,7852,6998,842,12
2015-09-25,11729,10838,871,20
2015-09-26,12483,11587,874,22
2015-09-27,11914,11082,817,15
2015-09-28,13554,12248,1289,17
2015-09-29,12227,11130,1085,12
2015-09-30,17235,15180,2030,25
2015-10-01,15256,13983,1259,14
2015-10-02,13850,12695,1138,17
2015-10-03,13009,11742,1261,6
2015-10-04,15321,13876,1435,10
2015-10-05,10702,9446,1231,25
2015-10-06,12631,11095,1516,20
2015-10-07,14235,12841,1361,33
2015-10-08,14898,13441,1437,20
2015-10-09,9494,8413,1067,14
2015-10-10,8746,7613,1098,35
2015-10-11,11681,10440,1195,46
2015-10-12,13579,12189,1358,32
2015-10-13,16180,14108,2042,30
2015-10-14,16740,14818,1886,36
2015-10-15,12317,10478,1808,31
2015-10-16,12350,11021,1292,37
2015-10-17,15869,14252,1586,31
2015-10-18,10693,9339,1305,49
2015-10-19,13315,11478,1791,46
2015-10-20,9463,8106,1307,50
2015-10-21,10172,8914,1224,34
2015-10-22,11459,10067,1366,26
2015-10-23,8111,6901,1164,46
2015-10-24,8186,7022,1126,38
2015-10-25,11066,9786,1227,53
2015-10-26,10172,8839,1288,45
2015-10-27,11372,10266,1083,23
2015-10-28,12600,10990,1583,27
2015-10-29,9874,8479,1370,25
2015-10-30,12132,10529,1546,57
2015-10-31,11391,9963,1395,33
2015-11-01,11652,10133,1500,19
2015-11-02,10018,8546,1440,32
2015-11-03,9655,8393,1232,30
2015-11-04,17640,15541,2072,27
2015-11-05,11724,10303,1397,24
2015-11-06,8234,6858,1339,37
2015-11-07,11540,10079,1429,32
2015-11-08,9713,8283,1404,26
2015-11-09,7894,6527,1352,15
2015-11-10,8701,7234,1447,20
2015-11-11,10482,8728,1727,27
2015-11-12,8939,7670,1228,41
2015-11-13,9080,7548,1476,56
2015-11-14,7983,6785,1170,28
2015-11-15,8474,7211,1229,34
2015-11-16,12805,10966,1727,112
2015-11-17,11707,10092,1569,46
2015-11-18,9767,8455,1273,39
2015-11-19,8694,7424,1224,46
2015-11-20,12069,10468,1572,29
2015-11-21,10808,9425,1357,26
2015-11-22,15380,13105,2180,95
2015-11-23,13608,11294,2288,26
2015-11-24,13191,11565,1592,34
2015-11-25,9797,7455,2314,28
2015-11-26,11037,9548,1467,22
2015-11-27,10064,8490,1548,26
2015-11-28,8504,7100,1360,44
2015-11-29,11259,9186,2043,30
2015-11-30,11252,9756,1462,34
2015-12-01,13169,11463,1677,29
2015-12-02,13210,11591,1562,57
2015-12-03,11449,9636,1767,46
2015-12-04,7762,6758,982,22
2015-12-05,6794,5903,863,28
2015-12-06,7609,6467,1092,50
2015-12-07,6291,5368,892,31
2015-12-08,6817,5857,904,56
2015-12-09,12879,11059,1780,40
2015-12-10,12682,11302,1343,37
2015-12-11,10346,9047,1265,34
2015-12-12,10589,9202,1370,17
2015-12-13,10355,9259,1047,49
2015-12-14,8481,7467,941,73
2015-12-15,8781,7553,1191,37
2015-12-16,25444,23996,1400,48
2015-12-17,10095,8904,1152,39
2015-12-18,8809,7902,868,39
2015-12-19,9204,8211,957,36
2015-12-20,8174,7092,1060,22
2015-12-21,8629,7706,879,44
2015-12-22,12599,11462,1111,26
2015-12-23,10392,8878,1493,21
2015-12-24,13447,12258,1156,33
2015-12-25,10738,9905,811,22
2015-12-26,8236,7149,1033,54
2015-12-27,5881,5036,826,19
2015-12-28,7554,6628,892,34
2015-12-29,11951,10805,1125,21
2015-12-30,7926,7014,856,56
2015-12-31,6762,5878,837,47
2016-01-01,11792,10359,1379,54
2016-01-02,14806,13370,1407,29
2016-01-03,9075,8241,810,24
2016-01-04,15756,14591,1125,40
2016-01-05,9702,8538,1140,24
2016-01-06,10649,9152,1466,31
2016-01-07,10657,8986,1644,27
2016-01-08,9747,8227,1495,25
2016-01-09,7317,6318,966,33
2016-01-10,9891,8581,1288,22
2016-01-11,9843,8568,1243,32
2016-01-12,7850,6895,934,21
2016-01-13,8746,7426,1295,25
2016-01-14,17736,16517,1204,15
2016-01-15,18378,16101,2239,38
2016-01-16,15745,14800,897,48
2016-01-17,16291,14733,1533,25
2016-01-18,16014,14562,1414,38
2016-01-19,13939,12708,1207,24
2016-01-20,17868,16244,1581,43
2016-01-21,14148,13067,1054,27
2016-01-22,14250,12861,1358,31
2016-01-23,23009,19848,3136,25
2016-01-24,17701,15936,1740,25
2016-01-25,18508,16805,1678,25
2016-01-26,15492,13980,1460,52
2016-01-27,20314,18421,1865,28
2016-01-28,15319,13582,1708,29
2016-01-29,10530,9414,1087,29
2016-01-30,12285,11096,1172,17
2016-01-31,11925,10368,1523,34
2016-02-01,10074,8823,1201,50
2016-02-02,13322,12178,1103,41
2016-02-03,24240,22667,1538,35
2016-02-04,16720,14593,2100,27
2016-02-05,9501,8625,822,54
2016-02-06,7376,6266,1056,54
2016-02-07,7808,6790,966,52
2016-02-08,10963,9597,1341,25
2016-02-09,9240,8303,881,56
2016-02-10,10473,9256,1181,36
2016-02-11,9343,8486,825,32
2016-02-12,13850,12880,954,16
2016-02-13,19065,17705,1328,32
2016-02-14,12735,11445,1266,24
2016-02-15,11130,10110,972,48
