Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,138,106,32,0
2015-05-02,105,87,18,0
2015-05-03,185,140,45,0
2015-05-04,201,166,35,0
2015-05-05,239,205,34,0
2015-05-06,59,47,12,0
2015-05-07,153,109,44,0
2015-05-08,86,79,7,0
2015-05-09,116,95,21,0
2015-05-10,108,90,18,0
2015-05-11,135,115,20,0
2015-05-12,53,52,1,0
2015-05-13,129,102,27,0
2015-05-14,66,63,3,0
2015-05-15,123,104,19,0
2015-05-16,97,65,32,0
2015-05-17,114,86,28,0
2015-05-18,84,75,9,0
2015-05-19,242,210,32,0
2015-05-20,148,119,29,0
2015-05-21,163,133,30,0
2015-05-22,113,95,18,0
2015-05-23,193,137,56,0
2015-05-24,120,93,27,0
2015-05-25,201,150,51,0
2015-05-26,141,112,29,0
2015-05-27,138,115,23,0
2015-05-28,165,128,37,0
2015-05-29,161,129,32,0
2015-05-30,75,65,10,0
2015-05-31,199,124,75,0
2015-06-01,226,155,71,0
2015-06-02,297,248,49,0
2015-06-03,127,92,35,0
2015-06-04,274,199,75,0
2015-06-05,364,270,94,0
2015-06-06,330,257,73,0
2015-06-07,168,135,33,0
2015-06-08,199,149,50,0
2015-06-09,246,197,49,0
2015-06-10,344,265,79,0
2015-06-11,194,157,37,0
2015-06-12,173,127,46,0
2015-06-13,222,156,66,0
2015-06-14,275,195,80,0
2015-06-15,136,117,19,0
2015-06-16,203,176,27,0
2015-06-17,16,13,3,0
2015-06-18,22,18,4,0
2015-06-19,41,37,4,0
2015-06-20,19,17,2,0
2015-06-21,15,15,0,0
2015-06-22,23,21,2,0
2015-06-23,25,21,4,0
2015-06-24,22,21,1,0
2015-06-25,29,29,0,0
2015-06-26,27,23,4,0
2015-06-27,15,11,4,0
2015-06-28,44,20,24,0
2015-06-29,36,32,4,0
2015-06-30,52,45,7,0
2015-07-01,24,21,3,0
2015-07-02,18,18,0,0
2015-07-03,16,13,3,0
2015-07-04,20,20,0,0
2015-07-05,28,28,0,0
2015-07-06,32,26,6,0
2015-07-07,40,33,7,0
2015-07-08,29,24,5,0
