Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,61905,34166,27739,0
2015-05-02,57372,30740,26632,0
2015-05-03,64333,35609,28724,0
2015-05-04,76025,46725,29300,0
2015-05-05,71933,44005,27928,0
2015-05-06,73498,45776,27722,0
2015-05-07,72800,46236,26564,0
2015-05-08,62398,37962,24436,0
2015-05-09,59950,35069,24881,0
2015-05-10,61557,33821,27736,0
2015-05-11,74588,46048,28540,0
2015-05-12,76938,47887,29051,0
2015-05-13,74961,46858,28103,0
2015-05-14,71878,44633,27245,0
2015-05-15,67532,41055,26477,0
2015-05-16,58871,33024,25847,0
2015-05-17,66581,36865,29716,0
2015-05-18,76007,46226,29781,0
2015-05-19,86076,55620,30456,0
2015-05-20,77418,46843,30575,0
2015-05-21,76802,48058,28744,0
2015-05-22,67990,41635,26355,0
2015-05-23,65273,39622,25651,0
2015-05-24,68824,38701,30123,0
2015-05-25,77472,46995,30477,0
2015-05-26,78460,46219,32241,0
2015-05-27,78395,44705,33690,0
2015-05-28,73706,44580,29126,0
2015-05-29,61724,36636,25088,0
2015-05-30,53610,28151,25459,0
2015-05-31,65454,35798,29656,0
2015-06-01,72432,43135,29297,0
2015-06-02,73957,44872,29085,0
2015-06-03,71522,43193,28329,0
2015-06-04,73427,43887,29540,0
2015-06-05,66584,39962,26622,0
2015-06-06,54246,28762,25484,0
2015-06-07,62874,34419,28455,0
2015-06-08,71064,42260,28804,0
2015-06-09,74315,45417,28898,0
2015-06-10,70959,42599,28360,0
2015-06-11,73337,46506,26831,0
2015-06-12,63993,39600,24393,0
2015-06-13,55641,31411,24230,0
2015-06-14,65078,37224,27854,0
2015-06-15,69486,42198,27288,0
2015-06-16,65394,39470,25924,0
2015-06-17,63532,38303,25229,0
2015-06-18,64118,38368,25750,0
2015-06-19,58172,33984,24188,0
2015-06-20,53070,27085,25985,0
2015-06-21,53115,26751,26364,0
2015-06-22,61269,34281,26988,0
2015-06-23,59983,35329,24654,0
2015-06-24,65950,42662,23288,0
2015-06-25,58589,35269,23320,0
2015-06-26,53992,32760,21232,0
2015-06-27,44702,24014,20688,0
2015-06-28,48668,25815,22853,0
2015-06-29,55907,32916,22991,0
2015-06-30,55833,33585,22248,0
2015-07-01,55333,32882,22451,0
2015-07-02,56749,33218,23531,0
2015-07-03,51449,29248,22201,0
2015-07-04,46016,25395,20621,0
2015-07-05,48734,26033,22701,0
2015-07-06,58739,35282,23457,0
2015-07-07,54923,31669,23254,0
2015-07-08,51782,29526,22256,0
2015-07-09,51750,29682,22068,0
2015-07-10,50850,29764,21086,0
2015-07-11,51081,30206,20875,0
2015-07-12,48460,25018,23442,0
2015-07-13,55597,32508,23089,0
2015-07-14,54604,31555,23049,0
2015-07-15,51004,29405,21599,0
2015-07-16,52588,31430,21158,0
2015-07-17,50275,27046,23229,0
2015-07-18,45790,23231,22559,0
2015-07-19,49864,23029,26835,0
2015-07-20,56872,29027,27845,0
2015-07-21,52513,29773,22740,0
2015-07-22,54279,31607,22672,0
2015-07-23,50965,28366,22599,0
2015-07-24,48720,26392,22328,0
2015-07-25,40093,19976,20117,0
2015-07-26,53781,31604,22177,0
2015-07-27,51276,28381,22895,0
2015-07-28,53013,29308,23705,0
2015-07-29,52794,30589,22205,0
2015-07-30,51257,29610,21647,0
2015-07-31,46380,25334,21046,0
2015-08-01,39809,19694,20115,0
2015-08-02,44234,22791,21443,0
2015-08-03,41515,22791,18724,0
2015-08-04,55289,32555,22734,0
2015-08-05,51864,29980,21884,0
2015-08-06,56010,34463,21547,0
2015-08-07,50308,29290,21018,0
2015-08-08,41862,21999,19863,0
2015-08-09,44904,22393,22511,0
2015-08-10,50331,27948,22383,0
2015-08-11,53458,30717,22741,0
2015-08-12,53083,29900,23183,0
2015-08-13,51175,28610,22565,0
2015-08-14,44187,24204,19983,0
2015-08-15,42562,22339,20223,0
2015-08-16,45109,22970,22139,0
2015-08-17,53161,29549,23612,0
2015-08-18,55997,31821,24176,0
2015-08-19,58155,33715,24440,0
2015-08-20,55458,32005,23453,0
2015-08-21,52462,29451,23011,0
2015-08-22,44271,23154,21117,0
2015-08-23,48351,25136,23215,0
2015-08-24,58178,33820,24358,0
2015-08-25,61734,36115,25619,0
2015-08-26,60117,34641,25476,0
2015-08-27,58609,33433,25176,0
2015-08-28,51567,29636,21931,0
2015-08-29,45562,24164,21398,0
2015-08-30,51455,26265,25190,0
2015-08-31,58773,33809,24964,0
2015-09-01,56839,32188,24651,0
2015-09-02,59762,36487,23275,0
2015-09-03,66734,43697,23037,0
2015-09-04,63243,42072,21171,0
2015-09-05,41929,22197,19732,0
2015-09-06,47445,24515,22930,0
2015-09-07,58790,34896,23894,0
2015-09-08,56607,32845,23762,0
2015-09-09,55352,32520,22832,0
2015-09-10,59999,37259,22740,0
2015-09-11,58433,36652,21781,0
2015-09-12,61270,41832,19438,0
2015-09-13,56369,34236,22133,0
2015-09-14,57439,34056,23383,0
2015-09-15,56703,33646,23057,0
2015-09-16,54655,32728,21927,0
2015-09-17,52153,30433,21720,0
2015-09-18,48306,28072,20234,0
2015-09-19,42216,22988,19228,0
2015-09-20,49634,26029,23605,0
2015-09-21,57575,33894,23681,0
2015-09-22,59813,36319,23494,0
2015-09-23,58115,34802,23313,0
2015-09-24,58993,33418,25575,0
2015-09-25,53579,29745,23834,0
2015-09-26,44527,23786,20741,0
2015-09-27,49413,25485,23928,0
2015-09-28,57081,32793,24288,0
2015-09-29,58652,34840,23812,0
2015-09-30,55773,33140,22633,0
2015-10-01,55650,34696,20954,0
2015-10-02,50136,29831,20305,0
2015-10-03,41066,21424,19642,0
2015-10-04,48584,25496,23088,0
2015-10-05,55311,32855,22456,0
2015-10-06,55596,32790,22801,5
2015-10-07,55232,32888,22344,0
2015-10-08,50868,29941,20742,185
2015-10-09,47488,27868,19332,288
2015-10-10,39661,20486,18950,225
2015-10-11,44882,23394,21258,230
2015-10-12,56896,31239,25400,257
2015-10-13,56768,33226,23200,342
2015-10-14,55525,32581,22616,328
2015-10-15,56654,34431,21840,383
2015-10-16,49606,29036,20220,350
2015-10-17,41311,21486,19561,264
2015-10-18,47333,24940,22084,309
2015-10-19,55554,33006,22227,321
2015-10-20,55773,32792,22669,312
2015-10-21,56537,33431,22824,282
2015-10-22,53797,32598,20864,335
2015-10-23,50629,31692,18550,387
2015-10-24,42828,23542,19041,245
2015-10-25,49102,26644,22219,239
2015-10-26,54252,32506,21444,302
2015-10-27,56320,33701,22316,303
2015-10-28,53678,32423,20956,299
2015-10-29,51324,30674,20350,300
2015-10-30,45940,26757,18921,262
2015-10-31,36792,18750,17845,197
2015-11-01,42286,21409,20662,215
2015-11-02,54055,30773,23006,276
2015-11-03,54224,32029,21933,262
2015-11-04,53315,31481,21552,282
2015-11-05,56965,32976,23695,294
2015-11-06,47399,27496,19611,292
2015-11-07,41908,22530,18612,766
2015-11-08,48427,24915,22484,1028
2015-11-09,60552,36339,23516,697
2015-11-10,58320,34367,23038,915
2015-11-11,56021,33267,21951,803
2015-11-12,55517,33799,21092,626
