Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,14491,13919,522,50
2015-05-02,14775,14220,532,23
2015-05-03,18983,18394,571,18
2015-05-04,14703,14122,537,44
2015-05-05,12088,11731,336,21
2015-05-06,10824,10467,334,23
2015-05-07,19787,18391,1367,29
2015-05-08,12056,11572,464,20
2015-05-09,17723,17220,475,28
2015-05-10,11826,11355,452,19
2015-05-11,10292,9411,852,29
2015-05-12,9537,8757,761,19
2015-05-13,12769,11327,1419,23
2015-05-14,13563,12814,729,20
2015-05-15,18807,18112,677,18
2015-05-16,11535,11103,387,45
2015-05-17,10717,10285,415,17
2015-05-18,9405,8791,603,11
2015-05-19,10928,10526,377,25
2015-05-20,11568,11156,390,22
2015-05-21,20199,19636,546,17
2015-05-22,10607,10255,324,28
2015-05-23,9552,9178,350,24
2015-05-24,10785,10428,347,10
2015-05-25,12158,11749,373,36
2015-05-26,13142,12727,398,17
2015-05-27,11822,11388,414,20
2015-05-28,11677,11074,563,40
2015-05-29,12201,11579,614,8
2015-05-30,16023,15381,623,19
2015-05-31,15255,14513,728,14
2015-06-01,11604,10980,610,14
2015-06-02,12781,12123,645,13
2015-06-03,12115,11489,616,10
2015-06-04,12016,11161,835,20
2015-06-05,14295,13802,474,19
2015-06-06,11443,10966,461,16
2015-06-07,10546,10124,393,29
2015-06-08,12751,12228,499,24
2015-06-09,11680,11244,407,29
2015-06-10,10101,9634,448,19
2015-06-11,9981,9466,495,20
2015-06-12,12853,12320,511,22
2015-06-13,12794,12182,591,21
2015-06-14,13596,13105,472,19
2015-06-15,11050,10577,448,25
2015-06-16,16898,16444,443,11
2015-06-17,10898,10044,832,22
2015-06-18,9745,9114,607,24
2015-06-19,9552,9119,390,43
2015-06-20,8845,8355,472,18
2015-06-21,12841,12357,475,9
2015-06-22,9105,8729,365,11
2015-06-23,9448,9210,218,20
2015-06-24,9277,8945,322,10
2015-06-25,8546,8101,432,13
2015-06-26,7457,7017,414,26
2015-06-27,6325,5773,530,22
2015-06-28,6412,6073,323,16
2015-06-29,8363,7999,348,16
2015-06-30,6892,6544,332,16
2015-07-01,6338,6059,262,17
2015-07-02,6936,6563,361,12
2015-07-03,7691,7137,549,5
2015-07-04,10085,9639,441,5
2015-07-05,12706,12079,621,6
2015-07-06,20769,19843,918,8
2015-07-07,17164,16260,889,15
2015-07-08,11736,11143,583,10
2015-07-09,9937,9609,314,14
2015-07-10,9569,9260,298,11
2015-07-11,5097,4753,331,13
2015-07-12,5084,4743,330,11
2015-07-13,5099,4836,250,13
2015-07-14,6439,6083,335,21
2015-07-15,7864,7439,417,8
2015-07-16,7519,7156,335,28
2015-07-17,5713,5310,388,15
2015-07-18,7573,7183,365,25
2015-07-19,14907,7701,7185,21
2015-07-20,7459,7035,413,11
2015-07-21,5794,5440,339,15
2015-07-22,6876,6360,500,16
2015-07-23,8025,6436,1577,12
2015-07-24,7096,6394,682,20
2015-07-25,8697,8167,517,13
2015-07-26,9205,8756,443,6
2015-07-27,9698,9164,511,23
2015-07-28,9424,8727,690,7
2015-07-29,9831,9080,740,11
2015-07-30,10812,7155,3642,15
2015-07-31,6023,5549,451,23
2015-08-01,7817,6986,822,9
2015-08-02,7988,7332,629,27
2015-08-03,5906,5450,453,3
2015-08-04,8988,7820,1159,9
2015-08-05,6428,5109,1302,17
2015-08-06,6780,6185,582,13
2015-08-07,10387,9617,757,13
2015-08-08,4600,4163,422,15
2015-08-09,7987,7492,472,23
2015-08-10,7756,7326,407,23
2015-08-11,8383,7942,423,18
2015-08-12,6581,6176,391,14
2015-08-13,8849,8408,428,13
2015-08-14,6412,5900,488,24
2015-08-15,7962,7339,604,19
