Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,2356,2251,104,1
2015-05-02,2175,2091,84,0
2015-05-03,2514,2420,94,0
2015-05-04,3351,3184,167,0
2015-05-05,4353,4055,298,0
2015-05-06,1347,1291,54,2
2015-05-07,3043,2927,116,0
2015-05-08,1901,1809,91,1
2015-05-09,2599,2496,103,0
2015-05-10,1861,1802,57,2
2015-05-11,1792,1651,141,0
2015-05-12,1403,1360,43,0
2015-05-13,2632,2400,232,0
2015-05-14,2396,2349,47,0
2015-05-15,3057,2969,88,0
2015-05-16,1487,1394,93,0
2015-05-17,1814,1738,75,1
2015-05-18,1675,1598,77,0
2015-05-19,1934,1790,144,0
2015-05-20,1630,1484,146,0
2015-05-21,2885,2762,123,0
2015-05-22,1869,1684,185,0
2015-05-23,1549,1418,131,0
2015-05-24,1371,1238,133,0
2015-05-25,1976,1796,180,0
2015-05-26,1985,1857,128,0
2015-05-27,2010,1862,148,0
2015-05-28,1768,1695,73,0
2015-05-29,3262,3129,133,0
2015-05-30,2599,2491,108,0
2015-05-31,1595,1479,116,0
2015-06-01,1326,1154,172,0
2015-06-02,1724,1520,204,0
2015-06-03,1931,1774,157,0
2015-06-04,2095,1870,225,0
2015-06-05,2349,2159,190,0
2015-06-06,1953,1601,352,0
2015-06-07,1325,1192,133,0
2015-06-08,2319,2210,108,1
2015-06-09,2096,1942,154,0
2015-06-10,2165,1991,174,0
2015-06-11,3979,3786,193,0
2015-06-12,2219,2059,160,0
2015-06-13,1847,1681,166,0
2015-06-14,1571,1391,180,0
2015-06-15,1327,1161,165,1
2015-06-16,1456,1382,74,0
2015-06-17,1114,1076,37,1
2015-06-18,4615,4557,58,0
2015-06-19,1267,1250,17,0
2015-06-20,1365,1353,11,1
2015-06-21,1192,1184,8,0
2015-06-22,1597,1567,30,0
2015-06-23,1260,1255,5,0
2015-06-24,1038,1029,9,0
2015-06-25,1520,1501,18,1
2015-06-26,2146,2081,65,0
2015-06-27,2070,1869,201,0
2015-06-28,1452,1407,45,0
2015-06-29,3000,2911,89,0
2015-06-30,1236,1214,22,0
2015-07-01,1525,1494,31,0
2015-07-02,1251,1213,38,0
2015-07-03,3910,3815,95,0
2015-07-04,1334,1325,9,0
2015-07-05,1677,1655,22,0
2015-07-06,3474,3416,58,0
2015-07-07,3583,3508,74,1
2015-07-08,1914,1891,23,0
2015-07-09,1136,1131,5,0
2015-07-10,1858,1842,16,0
2015-07-11,698,696,2,0
2015-07-12,1426,1411,14,1
2015-07-13,893,884,9,0
2015-07-14,800,794,6,0
2015-07-15,1022,1013,9,0
2015-07-16,1235,1207,28,0
2015-07-17,598,595,3,0
2015-07-18,1223,1182,39,2
2015-07-19,2014,2000,14,0
2015-07-20,1191,1182,9,0
2015-07-21,889,876,13,0
2015-07-22,915,862,53,0
2015-07-23,1096,835,261,0
2015-07-24,804,789,12,3
2015-07-25,677,665,7,5
2015-07-26,621,613,8,0
2015-07-27,1262,1239,21,2
2015-07-28,1261,1218,43,0
2015-07-29,1901,1770,130,1
2015-07-30,1306,1275,31,0
2015-07-31,1142,1134,8,0
2015-08-01,1642,1601,41,0
2015-08-02,1253,1241,12,0
2015-08-03,635,627,8,0
2015-08-04,1483,1448,35,0
2015-08-05,1156,1147,9,0
2015-08-06,1327,1306,21,0
2015-08-07,2539,2512,27,0
2015-08-08,1230,1202,28,0
2015-08-09,1832,1814,18,0
2015-08-10,1824,1795,28,1
2015-08-11,1974,1959,15,0
2015-08-12,1443,1428,15,0
2015-08-13,1010,986,24,0
2015-08-14,932,903,29,0
2015-08-15,1224,1163,59,2
2015-08-16,1544,1488,56,0
2015-08-17,1180,1088,92,0
2015-08-18,2757,2455,302,0
2015-08-19,2388,2268,120,0
2015-08-20,2800,2637,163,0
2015-08-21,1986,1918,68,0
2015-08-22,1351,1288,63,0
2015-08-23,3107,2756,351,0
2015-08-24,2181,1827,354,0
