Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,690,532,158,0
2015-05-02,641,547,94,0
2015-05-03,724,624,100,0
2015-05-04,929,794,135,0
2015-05-05,564,462,102,0
2015-05-06,566,482,84,0
2015-05-07,509,427,82,0
2015-05-08,450,371,79,0
2015-05-09,574,496,78,0
2015-05-10,571,458,113,0
2015-05-11,624,494,130,0
2015-05-12,530,441,89,0
2015-05-13,652,513,139,0
2015-05-14,624,493,131,0
2015-05-15,664,547,117,0
2015-05-16,522,421,101,0
2015-05-17,568,509,59,0
2015-05-18,456,385,71,0
2015-05-19,484,376,108,0
2015-05-20,564,439,125,0
2015-05-21,566,450,116,0
2015-05-22,551,444,107,0
2015-05-23,456,357,99,0
2015-05-24,462,355,107,0
2015-05-25,595,444,151,0
2015-05-26,513,423,90,0
2015-05-27,474,390,84,0
2015-05-28,716,614,102,0
2015-05-29,606,494,112,0
2015-05-30,551,479,72,0
2015-05-31,646,528,118,0
2015-06-01,714,537,177,0
2015-06-02,690,515,175,0
2015-06-03,787,661,126,0
2015-06-04,1079,879,200,0
2015-06-05,1119,983,136,0
2015-06-06,820,655,165,0
2015-06-07,610,492,118,0
2015-06-08,833,703,130,0
2015-06-09,1049,928,121,0
2015-06-10,992,884,108,0
2015-06-11,811,674,137,0
2015-06-12,662,549,113,0
2015-06-13,625,492,133,0
2015-06-14,724,577,147,0
2015-06-15,458,366,92,0
2015-06-16,386,290,96,0
2015-06-17,320,278,42,0
2015-06-18,232,190,42,0
2015-06-19,242,197,45,0
2015-06-20,175,140,35,0
2015-06-21,230,205,25,0
2015-06-22,304,270,34,0
2015-06-23,223,200,23,0
2015-06-24,366,315,51,0
2015-06-25,264,243,21,0
2015-06-26,261,223,38,0
2015-06-27,225,205,20,0
2015-06-28,382,358,24,0
2015-06-29,431,407,24,0
2015-06-30,242,219,23,0
2015-07-01,285,251,34,0
2015-07-02,288,239,49,0
2015-07-03,192,165,27,0
2015-07-04,241,218,23,0
